len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance,msd,chain_center_of_mass_msd,tracking_monomer_0,tracking_monomer_msd_0,tracking_monomer_1,tracking_monomer_msd_1,tracking_monomer_2,tracking_monomer_msd_2
100,1000,100,500,500000,5e-05,1.742,36.811801274268994,1429.9203028220297,0.0672751541661974,0,346.3948630251821,25,1.404619862942411,50,1.3776347758584429
100,1000,100,500,500000,5e-05,1.7650000000000001,37.0659624814627,1448.5585342864306,0.06800694662912483,0,351.21029505207133,25,1.407842582250251,50,1.3985831457897118
100,1000,100,500,500000,5e-05,1.7883,37.32341935036589,1467.5020417572532,0.0685703205113546,0,356.0417550106648,25,1.3983738944466713,50,1.390469684180832
100,1000,100,500,500000,5e-05,1.8119,37.58444598440587,1486.9699975333294,0.0694121592305966,0,360.94066038306937,25,1.3995726851784658,50,1.4071513680687704
100,1000,100,500,500000,5e-05,1.83585,37.83893682925605,1506.1612312114978,0.07060547910938855,0,365.6772370237318,25,1.4099336131011224,50,1.4282687462626615
100,1000,100,500,500000,5e-05,1.8601,38.10047803967083,1525.871729868414,0.07114625090473364,0,370.7727762046836,25,1.4155430558895725,50,1.4277567836771778
100,1000,100,500,500000,5e-05,1.8847,38.36808497610132,1545.9569015768025,0.07231703252539959,0,376.0417832741624,25,1.4289519381688731,50,1.436045485538912
100,1000,100,500,500000,5e-05,1.90955,38.6315738286412,1565.955994900588,0.07321553485811606,0,381.103302249199,25,1.427834864127457,50,1.4584138431469809
100,1000,100,500,500000,5e-05,1.9348,38.89346013746829,1586.175194767043,0.0746876737581496,0,386.2476397199501,25,1.4424047136507625,50,1.4578559052068154
100,1000,100,500,500000,5e-05,1.96035,39.16218944819745,1607.036411214758,0.07571953652997458,0,391.46030857348444,25,1.4559455304043802,50,1.4683300240536168
100,1000,100,500,500000,5e-05,1.98625,39.43156498638099,1627.960873178408,0.07666617569844254,0,396.7226337666838,25,1.451997834718886,50,1.5009901233950353
100,1000,100,500,500000,5e-05,2.0125,39.70013658898713,1649.1253968881824,0.07767819394825413,0,402.1582153476491,25,1.4401229526155224,50,1.5061730829762854
100,1000,100,500,500000,5e-05,2.03905,39.97427631990721,1670.806789924923,0.07868372454688355,0,407.6538275703189,25,1.4651210414501294,50,1.5103764726797053
100,1000,100,500,500000,5e-05,2.0660000000000003,40.25093126186277,1692.8176541672035,0.0797664863601125,0,413.2044055107762,25,1.4786672159138203,50,1.5341779826121769
100,1000,100,500,500000,5e-05,2.0933,40.52673229491876,1714.9668551805332,0.08145702558161685,0,418.95175814539465,25,1.4984179756633444,50,1.5400151308414252
